"지역","발생횟수","날짜","year","month"
"경북",412,2018-06-01,2018,6
"경남",629,2018-06-01,2018,6
"제주",436,2018-06-01,2018,6
"서울",146,2018-07-01,2018,7
"부산",233,2018-07-01,2018,7
"대구",124,2018-07-01,2018,7
"인천",173,2018-07-01,2018,7
"광주",81,2018-07-01,2018,7
"대전",76,2018-07-01,2018,7
"울산",84,2018-07-01,2018,7
"세종",18,2018-07-01,2018,7
"경기",970,2018-07-01,2018,7
"강원",262,2018-07-01,2018,7
"충북",136,2018-07-01,2018,7
"충남",271,2018-07-01,2018,7
"전북",342,2018-07-01,2018,7
"전남",303,2018-07-01,2018,7
"경북",440,2018-07-01,2018,7
"경남",760,2018-07-01,2018,7
"제주",467,2018-07-01,2018,7
"서울",139,2018-08-01,2018,8
"부산",228,2018-08-01,2018,8
"대구",124,2018-08-01,2018,8
"인천",183,2018-08-01,2018,8
"광주",83,2018-08-01,2018,8
"대전",88,2018-08-01,2018,8
"울산",88,2018-08-01,2018,8
"세종",15,2018-08-01,2018,8
"경기",1003,2018-08-01,2018,8
"강원",304,2018-08-01,2018,8
"충북",154,2018-08-01,2018,8
"충남",279,2018-08-01,2018,8
"전북",313,2018-08-01,2018,8
"전남",300,2018-08-01,2018,8
"경북",527,2018-08-01,2018,8
"경남",823,2018-08-01,2018,8
"제주",443,2018-08-01,2018,8
"서울",143,2018-09-01,2018,9
"부산",196,2018-09-01,2018,9
"대구",131,2018-09-01,2018,9
"인천",197,2018-09-01,2018,9
"광주",84,2018-09-01,2018,9
"대전",94,2018-09-01,2018,9
"울산",76,2018-09-01,2018,9
"세종",16,2018-09-01,2018,9
"경기",1008,2018-09-01,2018,9
"강원",266,2018-09-01,2018,9
"충북",178,2018-09-01,2018,9
"충남",324,2018-09-01,2018,9
"전북",317,2018-09-01,2018,9
"전남",352,2018-09-01,2018,9
"경북",378,2018-09-01,2018,9
"경남",751,2018-09-01,2018,9
"제주",488,2018-09-01,2018,9
"서울",166,2018-10-01,2018,10
"부산",256,2018-10-01,2018,10
"대구",151,2018-10-01,2018,10
"인천",149,2018-10-01,2018,10
"광주",69,2018-10-01,2018,10
"대전",76,2018-10-01,2018,10
"울산",70,2018-10-01,2018,10
"세종",17,2018-10-01,2018,10
"경기",1085,2018-10-01,2018,10
"강원",266,2018-10-01,2018,10
"충북",167,2018-10-01,2018,10
"충남",364,2018-10-01,2018,10
"전북",349,2018-10-01,2018,10
"전남",274,2018-10-01,2018,10
"경북",416,2018-10-01,2018,10
"경남",799,2018-10-01,2018,10
"제주",564,2018-10-01,2018,10
"서울",194,2018-11-01,2018,11
"부산",213,2018-11-01,2018,11
"대구",144,2018-11-01,2018,11
"인천",174,2018-11-01,2018,11
"광주",67,2018-11-01,2018,11
"대전",87,2018-11-01,2018,11
"울산",74,2018-11-01,2018,11
"세종",10,2018-11-01,2018,11
"경기",945,2018-11-01,2018,11
"강원",319,2018-11-01,2018,11
"충북",195,2018-11-01,2018,11
"충남",668,2018-11-01,2018,11
"전북",368,2018-11-01,2018,11
"전남",315,2018-11-01,2018,11
"경북",361,2018-11-01,2018,11
"경남",663,2018-11-01,2018,11
"제주",481,2018-11-01,2018,11
"서울",126,2018-12-01,2018,12
"부산",183,2018-12-01,2018,12
"대구",108,2018-12-01,2018,12
"인천",144,2018-12-01,2018,12
"광주",76,2018-12-01,2018,12
"대전",76,2018-12-01,2018,12
"울산",55,2018-12-01,2018,12
"세종",16,2018-12-01,2018,12
"경기",820,2018-12-01,2018,12
"강원",298,2018-12-01,2018,12
"충북",221,2018-12-01,2018,12
"충남",351,2018-12-01,2018,12
"전북",268,2018-12-01,2018,12
"전남",247,2018-12-01,2018,12
"경북",440,2018-12-01,2018,12
"경남",612,2018-12-01,2018,12
"제주",484,2018-12-01,2018,12
"서울",141,2019-01-01,2019,1
"부산",241,2019-01-01,2019,1
"대구",139,2019-01-01,2019,1
"인천",177,2019-01-01,2019,1
"광주",120,2019-01-01,2019,1
"대전",167,2019-01-01,2019,1
"울산",72,2019-01-01,2019,1
"세종",22,2019-01-01,2019,1
"경기",1164,2019-01-01,2019,1
"강원",299,2019-01-01,2019,1
"충북",217,2019-01-01,2019,1
"충남",412,2019-01-01,2019,1
"전북",413,2019-01-01,2019,1
"전남",380,2019-01-01,2019,1
"경북",419,2019-01-01,2019,1
"경남",934,2019-01-01,2019,1
"제주",586,2019-01-01,2019,1
"서울",131,2019-02-01,2019,2
"부산",180,2019-02-01,2019,2
"대구",129,2019-02-01,2019,2
"인천",183,2019-02-01,2019,2
"광주",74,2019-02-01,2019,2
"대전",88,2019-02-01,2019,2
"울산",77,2019-02-01,2019,2
"세종",13,2019-02-01,2019,2
"경기",917,2019-02-01,2019,2
"강원",274,2019-02-01,2019,2
"충북",195,2019-02-01,2019,2
"충남",313,2019-02-01,2019,2
"전북",339,2019-02-01,2019,2
"전남",363,2019-02-01,2019,2
"경북",446,2019-02-01,2019,2
"경남",830,2019-02-01,2019,2
"제주",418,2019-02-01,2019,2
"서울",143,2019-03-01,2019,3
"부산",215,2019-03-01,2019,3
"대구",146,2019-03-01,2019,3
"인천",211,2019-03-01,2019,3
"광주",73,2019-03-01,2019,3
"대전",83,2019-03-01,2019,3
"울산",74,2019-03-01,2019,3
"세종",19,2019-03-01,2019,3
"경기",1059,2019-03-01,2019,3
"강원",279,2019-03-01,2019,3
"충북",179,2019-03-01,2019,3
"충남",354,2019-03-01,2019,3
"전북",411,2019-03-01,2019,3
"전남",462,2019-03-01,2019,3
"경북",619,2019-03-01,2019,3
"경남",888,2019-03-01,2019,3
"제주",507,2019-03-01,2019,3
"서울",160,2019-04-01,2019,4
"부산",219,2019-04-01,2019,4
"대구",143,2019-04-01,2019,4
"인천",189,2019-04-01,2019,4
"광주",109,2019-04-01,2019,4
"대전",83,2019-04-01,2019,4
"울산",90,2019-04-01,2019,4
"세종",14,2019-04-01,2019,4
"경기",1244,2019-04-01,2019,4
"강원",316,2019-04-01,2019,4
"충북",243,2019-04-01,2019,4
"충남",404,2019-04-01,2019,4
"전북",394,2019-04-01,2019,4
"전남",443,2019-04-01,2019,4
"경북",530,2019-04-01,2019,4
"경남",879,2019-04-01,2019,4
"제주",544,2019-04-01,2019,4
"서울",157,2019-05-01,2019,5
"부산",185,2019-05-01,2019,5
"대구",129,2019-05-01,2019,5
"인천",199,2019-05-01,2019,5
"광주",84,2019-05-01,2019,5
"대전",89,2019-05-01,2019,5
"울산",69,2019-05-01,2019,5
"세종",20,2019-05-01,2019,5
"경기",1083,2019-05-01,2019,5
"강원",345,2019-05-01,2019,5
"충북",180,2019-05-01,2019,5
"충남",360,2019-05-01,2019,5
"전북",392,2019-05-01,2019,5
"전남",400,2019-05-01,2019,5
"경북",472,2019-05-01,2019,5
"경남",793,2019-05-01,2019,5
"제주",463,2019-05-01,2019,5
"서울",125,2019-06-01,2019,6
"부산",196,2019-06-01,2019,6
"대구",111,2019-06-01,2019,6
"인천",169,2019-06-01,2019,6
"광주",119,2019-06-01,2019,6
"대전",67,2019-06-01,2019,6
"울산",68,2019-06-01,2019,6
"세종",9,2019-06-01,2019,6
"경기",949,2019-06-01,2019,6
"강원",291,2019-06-01,2019,6
"충북",252,2019-06-01,2019,6
